56,F1_withme,596213758315245569,@ideacellular   #IdeaTweet20 Na Na Na re ..Na re !
57,walkejayesh,596193831000748033,@ideacellular   This&#39;s what v r getting as speed wth #IIN claiming speed of 21.1 mbps bt 0.43 in actual. here is proof pic.twitter.com/dszWVlDLWs
58,BobbleApp,596141874160644096,@ideacellular  #IdeaTweet20 pic.twitter.com/D0fludWNF6
59,AMARBIRSINGH6,596122478587445249,@ideacellular  Virat is Indiaâ€™s best fielder for a reason. Coz he is best in sending and receiving rhe kisses  #IdeaTweet20 #eit20
60,SPRajeev,596115984265584640,@ideacellular  Don&#39;t you think we are needling too much in somebody&#39;s personal life..let him live and perform for country.
61,Contesttable,596049478840242176,@ideacellular  what this hastag is abt? do u need a shout to get trended organically ? #IdeaTweet20
62,ranjeetkhandare,596035309336301568,@ideacellular   I AM USING IDEA 3G INTERNET. BUT I GOT 2G SPEED. SEE SOME PICTURES ARE FIRST DAY OF MY BILLING CYCLE. pic.twitter.com/YxluZyahso
63,Funny_Deol,595995549699952640,@ideacellular  sorry main IIN me nahi padh sakta ab.
64,lammpat,595870464477540353,@ideacellular  à¤ªà¤¾à¤°à¥à¤¥à¤¿à¤µ à¤•à¥‹ à¤›à¥‹à¤¡à¤¼\, à¤¨à¥‡à¤Ÿà¤µà¤°à¥à¤• à¤ à¥€à¤• à¤•à¤°à¤¾\, 3G à¤•à¥‡ à¤¨à¤¾à¤® à¤ªà¤° 2G à¤—à¤¤à¤¿ à¤¸à¥‡ à¤šà¤² à¤°à¤¹à¤¾ à¤¹à¥ˆ\, à¤…à¤Ÿà¤•à¤¤à¤¾ à¤­à¥€ à¤¹à¥ˆ. ðŸ˜• @kitAnurag #IdeaTweet20 #eit20
65,jatinshah1986,595861252859006976,@ideacellular  : Hope.u take ur pathetic.network issue seriously enough.as Pandya.#WorstNetwork
66,s_susat,595839623382867968,@ideacellular  no ullu banabing
67,Varwandkar,595477465461444608,@ideacellular  Hello can you please update me on the resolution status of complaint no. 31-4370-5359402&#10;Dr. Ajit Varwaandkar\, Raipur
68,pradeepakgarg,595476086206517248,@ideacellular  @jeeturaaj #Scrap498a à¤œà¥‹ à¤¹à¥ˆ à¤ªà¥à¤°à¥‚à¤·à¥‹à¤‚ à¤ªà¤° à¤«à¤¾à¤à¤¸à¥€ à¤•à¤¾ à¤«à¤°à¤®à¤¾à¤¨\, à¤ªà¥à¤°à¥‚à¤· à¤†à¤¯à¥‹à¤— à¤¦à¥‡ à¤¦à¥‹ à¤¹à¤®à¤•à¥‹ à¤¯à¤¹à¥€ à¤¹à¤®à¤¾à¤°à¤¾ à¤…à¤°à¤®à¤¾à¤¨ pic.twitter.com/VCTAKRrstz
69,SFLCin,595150016857051136,@ideacellular  says CAPs shouldn&#39;t #encrypt traffic by default\, DPI should work across the board #NetNeutrality #TRAI pic.twitter.com/x7ZZ1mdEDP
70,SFLCin,595147933189742592,@ideacellular  thinks encryption in India should be kept under 40 bit key length! #NetNeutrality #TRAI #encryption pic.twitter.com/u5gwkFYkP5
71,vikantsahay,594914969969250305,@ideacellular  #ideatweet #eit20 kindly check on your pathetic services in #Panjim #Goa #calldrops #mobile #network #India #idea cellular
72,ImAlokJalan,594377503105363969,@ideacellular  Hi team.. When will you send my voucher that I won in your #Love4Cricket contest?? twitter.com/ideacellular/sâ€¦
73,Nijish9,593430507771146241,@ideacellular  Its been more than 15 days still no response from your end. pic.twitter.com/ZW6HvvLyXl
74,janidipak40,593416729784528897,@ideacellular  Bombay Velvet #GuessTheMovie
75,ImAlokJalan,593373426103885825,@ideacellular  Hello team.. When will you send our prize vouchers? @RahilaRa @rommelferns77 @VirajRS45
76,chiragdhori,593234397559590912,@ideacellular  @idea_cares #IIN #idea #iDEAFinal15 #IdeaMillonaria using wifi and data charge apply .what a invention! pic.twitter.com/zyTkyREzFP
77,ImAlokJalan,593120051617660928,@ideacellular  hahahaðŸ˜†ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
78,chiragdhori,593097269571780608,@ideacellular  @idea_cares  still facing problem while using wifi. Why ??? Im not student of #IIN #iinet pic.twitter.com/oieGgkfPiy
79,prgenes,592729496513605634,@ideacellular  why give emails in ur comms that do not work? This counts as spam. Wish Internet laws were better... pic.twitter.com/HrTETA0Ip8
80,rocky_msl,592232050632962048,@ideacellular  please stop this menace of telemarketers and take action on them @VodafoneIN pic.twitter.com/7IYUVmKxoS
81,ajinkyahirulkar,591643078932344832,@ideacellular  you talk about IIN but no 3G in Dadar area(Mumbai) highly upsetting..
82,pradeep_bkb,590884946257915904,@ideacellular  Brdbnd installation pending\, money has taken and ur representative(sachin-9764559791) not picking fone pic.twitter.com/txWqv82WNc
83,susmitchakrabo1,590872332933025792,@ideacellular  I&#39;ve received my voucher just now. Thank you.
84,sgroversayswhat,590480608670982144,@ideacellular  &#10;I just received a text from your end asking me to call anybody or else you will barred the services. pic.twitter.com/Zc4M3NgVFb
85,kalpana7867,590405265326936064,@ideacellular  &#13;Happy Akshay Tritiya!&#13;Still waiting #IdeaMMABangla #Contest prz.. Pls reply. Thank you! pic.twitter.com/SeHldthkkl
86,IamAbhijit,590220489689157632,@ideacellular  WTH????? raat ke 12 bje bhi Net problem...kya huwa yaar...#IIN ka????
87,amit_manwani,589882425125113856,@ideacellular  there is no way to knw how much balance data left in unlimited plan??thts cheating ðŸ˜•ðŸ˜•ðŸ˜•
88,nishant3271,589852987897618432,@ideacellular  please do something for the emerging social media wave of people making fun of #iin ! I am a big... fb.me/4bze1UgAi
89,pradeepakgarg,589637571761741824,@ideacellular  à¤ªà¤¹à¤²à¥‡ à¤¥à¥€ à¤µà¥‹ à¤¶à¤°à¤®à¤¾à¤ˆ à¤¸à¥€\, à¤…à¤¬ à¤®à¥ˆà¤‚ à¤¹à¥à¤ à¤•à¥à¤› à¤˜à¤¬à¤°à¤¾à¤¯à¤¾ à¤¸à¤¾\, #fakecases à¤•à¥€ à¤¦à¥‡à¤¤à¥€ à¤§à¤®à¤•à¥€\, à¤ªà¤²-à¤ªà¤² à¤¬à¤¦à¤²à¥€ à¤œà¤¾à¤ à¤­à¤¾à¤·à¤¾ #Scrap498a #StopMarriageBill
90,sidz123,589109604027604992,@ideacellular  : Even  after sending repeated email there has been no response whatsoever.. This is customer servivce! pic.twitter.com/67Hhzic1BD
91,ShadaabConfi,589038060542656516,@ideacellular  Custmr Srvc better dan #SocialMedia Offered reversing chrgs. But too late! Ported to @Airtel_Presence pic.twitter.com/tYbC4flTIT
92,Akhimufc,588978375353503744,@ideacellular  not getting my data which i am eligible to get. Ur customer care ppl r harassing m like anything pic.twitter.com/dHsIgS3NHW
93,Akhimufc,588977889300783104,@ideacellular  fighting for my 4GB data for last 7 days.what&#39;s problem idea? Shouldn&#39;t i get data? #ShameonIdea pic.twitter.com/0tov1Smshy
94,abhishekprsnl,588366502132252672,@ideacellular  take IIN and shove it up your arse.All u do is charge people for unused data\,even whn they got a packðŸ˜¬ pic.twitter.com/Vu6kIjDGkl
95,BrihadMaurya,588058417962557441,@ideacellular  got offer that recharge with 451 get 3.5gb 3g but i got only 1gb \,feeling cheated please check . pic.twitter.com/h5083uq8Ph
96,christianhujer,587625719766712320,@ideacellular  198.252.206.140 (stackoverflow.com) + other US hosts not reachable from your net. Routing config fail?
97,MC_Kyon,587500405631819776,@ideacellular  Ullu banaoing starts from our customer bit.ly/1DWs4Lj &#10;Idea&#39;s dumb 3G data system #SaveTheInternet CC: @dna
98,BhaveshVvn,587474761552302081,@ideacellular  ll aprct if u send 1 printed bill 4 same billing cycle instead of 2 copy considering ur adv of #GoGreen pic.twitter.com/FZhuF15pBk
99,srikapardhi,587192607924551681,@ideacellular  2G data performing is going flawless \, at least in places I&#39;ve used #Karnataka #AP @TelecomTalk
100,ShadaabConfi,586962121226788864,@ideacellular  Can any1 answer why was i charged n HOW? @Airtel_Presence shud know #Idea #SocialMedia r useless pic.twitter.com/6GKDh2Nywx
101,Arjun_K6,586852949856387072,@ideacellular  #IIN ads are out of hand. As if learning technical courses were not enough\, they are now showing rebuilding bikes! #CSKvsSRH
102,saataarkar,586556836368617472,@ideacellular  I am not able to deactivate my data plan or raise a complaint through web portal. Repeat error msg. pic.twitter.com/7HsV7tf0el
103,shamz911,586408033753759744,@ideacellular  @tatadocomo @VodafoneIN Still waiting for one of you to impress me in 140 chars. cc:@Airtel_Presence twitter.com/shamz911/statuâ€¦
104,shashi_70,586184655533019136,@ideacellular  #IdeaFilmiQuotient   Akshay Kumar.
105,Sagar2612,586151570175168512,@ideacellular  Amazing Contest wish to win fingers crossed #IdeaFilmiQuotient
106,Shiv1102,586149344992169984,@ideacellular  Amazing contest guys! Loved every moment. Hoping I made my mark :) #IdeaFilmiQuotient
107,PujaDas07,586149121888804864,@ideacellular  Thanks for the lovely contest! Followed and answered all quickly :) :D #IdeaFilmiQuotient
108,arvindr3,586143592453779456,@ideacellular  #Ideafilmiquotient  enjoyed the contest\,  battery problem
109,ankitprince13,586143414778925057,@ideacellular  contest Drived me crazy &#10;â˜…Ò‰â˜…Ò‰ #IdeaFilmiQuotient â˜…Ò‰â˜…Ò‰&#10;â˜…Ò‰â˜…Ò‰   â˜…Ò‰â˜…Ò‰&#10;â˜…Ò‰â˜…Ò‰ #IdeaFilmiQuotient â˜…Ò‰â˜…Ò‰ pic.twitter.com/KVuNxA2kie
110,ankitprince13,586143167260397568,@ideacellular  Thankyou Team &#10;â˜…Ò‰â˜…Ò‰ #IdeaFilmiQuotient â˜…Ò‰â˜…Ò‰&#10;â˜…Ò‰â˜…Ò‰   â˜…Ò‰â˜…Ò‰&#10;â˜…Ò‰â˜…Ò‰ #IdeaFilmiQuotient â˜…Ò‰â˜…Ò‰ pic.twitter.com/aW0iYNYEwZ
111,maliabhi,586138593707425792,@ideacellular  #IdeaFilmiQuotient Amazing contest !!! hope to Winnn !!!!
112,architsrivas,586136831747493889,@ideacellular   #IdeaFilmiQuotient It was fun participating in this contest. Hope to register my first win here
113,simple_guy5,586136761547362304,@ideacellular  Thank you Team for the Amazing contest! Hope to win first time with you â˜ºðŸ˜„ #IdeaFilmiQuotient
114,shah_himanshu,586135467088715776,@ideacellular  Huge shoutttttt #IdeaFilmiQuotient .&#10;#IdeaFilmiQuotient #IdeaFilmiQuotient #IdeaFilmiQuotient&#10;#IdeaFilmiQuotient . ..........
